許可證字號,類別,中文品名,核可日期,申請商,證況,保健功效相關成分,保健功效,保健功效宣稱,警語,注意事項,網址
衛部健食規字第000049號,衛署健食規字,麴康膠囊,2014/07/11,禾懋生物醫學股份有限公司,核可,Monacolin K,"調節血脂, 紅麴（規格標準）-調節血脂",本產品可能有助於降低血中總膽固醇；其功效由學理得知，非由實驗確認。,1.患有嚴重疾病、感染症、肝病或經外科手術等情況者，請勿食用。2.是否適用於膽固醇之控制，應先徵詢醫師。3.懷孕及授乳期間請勿食用。4.本品與降血脂藥(statin及fibrate類藥物)、葡萄柚合併使用，恐會造成肝、腎損傷、橫紋肌溶解症。,1.請徵詢醫師、藥師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。2.本產品非藥品，供保健用，罹病者仍需就醫。3. 請依建議攝取量食用，勿過量。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=273
衛部健食規字第000050號,衛署健食規字,愛之味深海魚油膠囊,2014/09/17,愛之味股份有限公司,核可,純度(EPA+DHA)含量二十碳五烯酸 (EPA)二十二碳六烯酸 (DHA),"調節血脂, 魚油（規格標準）-調節血脂",本產品可能有助於降低血中三酸甘油酯；其功效乃由學理得知，非由實驗確認。,正在服用抗凝血劑者，例如：阿斯匹靈…等凝血功能不全者及嬰幼兒、孕婦或糖尿病患者，食用前請先徵詢醫師意見。,1.開封時如發現包裝破損或任何品質異常，請將整盒產品交回公司更換新品。2.食用前應徵詢醫師、藥師或營養師有關食用本品之意見:均衡的飲食及適當的運動為身體健康之基礎。3.本產品非藥品，供保健用，罹病者仍需就醫。4.請依建議攝取量食用，勿過量。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=281
衛部健食規字第000051號,衛署健食規字,精粹紅麴隨手包,2014/12/05,振翔生物科技有限公司,核可,Monacolin K,"調節血脂, 紅麴（規格標準）-調節血脂",本產品可能有助於降低血中總膽固醇；其功效由學理得知，非由實驗確認。,1.患有嚴重疾病、感染症、肝病或經外科手術等情況者，請勿食用 。2.是否適用於膽固醇之控制，應先徵詢醫師。3.懷孕及授乳期間請勿食用。4.本品與降血脂藥(statin及fibrate類藥物)、葡萄柚合併使用，恐會造成肝、腎損傷、橫紋肌溶解症。,1.請徵詢醫師、藥師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。2.本產品非藥品，供保健用，罹病者仍需就醫。3.請依建議攝取量食用，勿過量。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=283
衛部健食規字第000052號,衛署健食規字,諾寶紅麴膠囊,2014/12/28,諾貝兒寶貝股份有限公司,核可,Monacolin K,"調節血脂, 紅麴（規格標準）-調節血脂",本產品可能有助於降低血中總膽固醇；其功效由學理得知，非由實驗確認。,1. 患有嚴重疾病、感染症、肝病或經外科手術等情況者，請勿食用。2. 是否適用於膽固醇之控制，應先徵詢醫師。3. 本品與降血脂藥(statin及fibrate類藥物)、葡萄柚合併使用，恐會造成肝、腎損傷、橫紋肌溶解症。4. 懷孕及授乳期間請勿食用。,1. 請徵詢醫師、藥師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。2. 本產品非藥品，供保健用，罹病者仍需就醫。3. 請依建議攝取量食用，勿過量。4. 本產品含有牛奶及其製品，不適合其過敏體質者食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=286
衛部健食規字第000053號,衛署健食規字,你滋美得 健康精粹魚油膠囊,2015/03/27,景華生技股份有限公司,核可,純度(EPA+DHA)二十碳五烯酸 (EPA)二十二碳六烯酸 (DHA),"調節血脂, 魚油（規格標準）-調節血脂",本產品可能有助於降低血中三酸甘油酯；其功效乃由學理得知，非由實驗確認。,正在服用抗凝血劑者，例如：阿斯匹靈…等凝血功能不全者及嬰幼兒、孕婦或糖尿病患者，食用前請先徵詢醫師意見,1.請徵詢醫師、藥師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。2.本產品非藥品，供保健用，罹病者仍需就醫。3.請依建議攝取量食用，勿過量。4.開封後請關緊瓶蓋，置於陰涼處保存，避免兒童自行取用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=291
衛部健食規字第000054號,衛署健食規字,悠萃美佳魚油軟膠囊,2015/04/19,中南生物科技股份有限公司,核可,EPA 含量：147-210 毫克/粒DHA 含量：105-140 毫克/粒魚油純度(EPA+DHA)：36~50%,"調節血脂, 魚油（規格標準）-調節血脂",本產品可能有助於降低血中三酸甘油酯；其功效乃由學理得知，非由實驗確認。,正在服用抗凝血劑者，例如:阿斯匹靈…等凝血功能不全者及嬰幼兒、孕婦或糖尿病患者，食用前請先徵詢醫師意見。,1. 請徵詢醫師、藥師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。2. 本產品非藥品，供保健用，罹病者仍需就醫。3. 請依建議攝取量食用，勿過量。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=295
衛部健食規字第000055號,衛署健食規字,如順健康魚油膠囊,2015/04/29,普新生技股份有限公司,核可,EPA含量：105-150毫克/顆DHA含量：75-100毫克/顆魚油純度(EPA+DHA)：36~50%,"調節血脂, 魚油（規格標準）-調節血脂",本產品可能有助於降低血中三酸甘油酯；其功效乃由學理得知，非由實驗確認。,正在服用抗凝血劑者，例如:阿斯匹靈…等凝血功能不全者及嬰幼兒、孕婦或糖尿病患者，食用前請先徵詢醫師意見。,1.請徵詢醫師、藥師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。2.本產品非藥品，供保健用，罹病者仍需就醫。3.請依建議攝取量食用，勿過量。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=299
衛部健食規字第000056號,衛署健食規字,漁人健康紅麴素食膠囊 (暫停生產),2015/06/13,漁人製藥股份有限公司,失效,Monacolin K,"調節血脂, 紅麴（規格標準）-調節血脂",本產品可能有助於降低血中總膽固醇；其功效乃由學理得知，非由實驗確認。,(1)患有嚴重疾病、感染症、肝病或經外科手術等情況者，請勿食用。(2)是否適用於膽固醇之控制，應先徵詢醫師。(3)懷孕及授乳期間請勿食用。(4)本品與降血脂藥(statin及fibrate類藥物)、葡萄柚合併使用，恐會造成肝、腎損傷、橫紋肌溶解症。,(1)請徵詢醫師、藥師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。(2)本產品非藥品，供保健用，罹病者仍需就醫。(3)請依建議攝取量食用，勿過量。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=302
衛部健食規字第000057號,衛署健食規字,紅麴優清膠囊,2015/07/01,順天本草股份有限公司,核可,HMG-COA還原酵素抑制劑Monacolin K,"調節血脂, 紅麴（規格標準）-調節血脂",本產品可能有助於降低血中總膽固醇；其功效由學理得知，非由實驗確認。,1.患有嚴重疾病、感染症、肝病或經外科手術等情況者，請勿食用。2.是否適用於膽固醇之控制，應先徵詢醫師。3.懷孕及授乳期間請勿食用。4.本品與降血脂藥(statin及fibrate類藥物)、葡萄柚合併使用，恐會造成肝、腎損傷、橫紋肌溶解症。,1.請徵詢醫師、藥師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。2.本產品非藥品，供保健用，罹病者仍需就醫。3.請依建議攝取量食用，勿過量。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=304
衛部健食規字第000058號,衛署健食規字,高優質Plus魚油軟膠囊,2015/12/12,杏輝藥品工業股份有限公司,核可,純度(EPA+DHA)含量百分比二十碳五烯酸 (EPA)二十二碳六烯酸 (DHA),"調節血脂功能, 魚油（規格標準）-調節血脂功能",「本產品可能有助於降低血中三酸甘油酯；其功效乃由學理得知，非由實驗確認。」,正在服用抗凝血劑者，例如：阿斯匹靈…等凝血功能不全者及嬰幼兒、孕婦或糖尿病患者，食用前請先徴詢醫師意見。,1.食用前應徴詢醫師、藥師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。2.本產品非藥品，供保健用，罹病者仍需就醫。3.請依建議攝取量食用，勿過量。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=323
衛部健食規字第000059號,衛署健食規字,安益身清紅麴膠囊,2015/11/30,漢生堂生物科技有限公司,核可,HMG-CoA還原酵素抑制劑Monacolin K,"調節血脂功能, 紅麴（規格標準）-調節血脂功能",本產品可能有助於降低血中總膽固醇；其功效由學理得知，非由實驗確認。,1.患有嚴重疾病、感染症、肝病或經外科手術等情況者，請勿食用。2.是否適用於膽固醇之控制，應先徵詢醫師。3.懷孕及授乳期間請勿食用。4.本品與降血脂藥（statin 及fibrate 類藥物）、葡萄柚合併使用，恐會造成肝、腎損傷、橫紋肌溶解症。,1.請徵詢醫師、藥師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。 2.本產品非藥品，供保健用，罹病者仍需就醫。 3.請依建議攝取量食用，勿過量。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=317
衛部健食規字第000060號,衛署健食規字,天明康健紅麴膠囊,2016/02/26,天明製藥股份有限公司農科分公司,核可,Monacolin K (HMG-CoA還原酵素抑制劑),"調節血脂, 紅麴（規格標準）-調節血脂",本產品可能有助於降低血中總膽固醇；其功效由學理得知，非由實驗確認。,1.患有嚴重疾病、感染症、肝病或經外科手術等情況者，請勿食用。2.是否適用於膽固醇之控制，應先徵詢醫師。3.本產品不應替代藥品使用。4.本品與降血脂藥(statin及fibrate類藥物)、葡萄柚合併使用，恐會造成肝、腎損傷、橫紋肌溶解症。,1.請徵詢醫師、藥師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。2.本產品不能治療矯正任何疾病，有病者仍需就醫。3.一日請勿超過2粒，多食或過量無益。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=327
衛部健食規字第000061號(本證失效),衛署健食規字,天河賞®健康魚油膠囊,2016/04/22,聖安投資股份有限公司,失效,EPA、DHA、魚油純度(EPA+DHA),"調節血脂, 魚油（規格標準）-調節血脂",本產品可能有助於降低血中三酸甘油酯；其功效乃由學理得知，非由實驗確認。,正在服用抗凝血劑者，例如:阿斯匹靈…等凝血功能不全者及嬰幼兒、孕婦或糖尿病患者，食用前請先徵詢醫師意見。,1.食用前應徵詢醫師、藥師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。2.本產品不能治療矯正任何疾病，有病者仍需就醫。3.多食或過量無益。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=328
衛部健食規字第000062號,衛署健食規字,井田優麴膠囊,2016/07/15,井田生化科技股份有限公司,核可,每粒膠囊(345毫克)含HMG-CoA還原酵素抑制劑Monacolin K 2.85~4.28毫克,"調節血脂功能, 紅麴（規格標準）-調節血脂功能",本產品可能有助於降低血中總膽固醇，其功效乃由學理得知，非由實驗確認。,1.患有嚴重疾病、感染症、肝病或經外科手術等情況者，請勿食用。2.是否適用於膽固醇之控制，應先徵詢醫師。3.本品與降血脂藥(statin及fibrate類藥物)、葡萄柚合併使用，恐會造成肝、腎損傷、橫紋肌溶解症。4.懷孕及授乳期間請勿食用。,1.請徵詢醫師、藥師或營養師有關食用本品之意見;均衡 的飲食及適當的運動為身體健康之基礎。2.本產品非藥品，供保健用，罹病者仍須就醫。3.請依建議攝取量食用，勿過量。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=335
衛部健食規字第000063號(本證失效),衛署健食規字,萊萃美超級魚油1000mg軟膠囊,2016/05/28,統一藥品股份有限公司,失效,EPA 250〜300毫克/粒DHA 160〜200毫克/粒魚油純度(EPA+DHA) 45% + 5%,"調節血脂, 魚油（規格標準）-調節血脂",本產品可能有助於降低血中三酸甘油酯; 其功效乃由學理得知，非由實驗確認。,正在服用抗凝血劑者，例如:阿斯匹靈…等凝血功能不全者及嬰幼兒、孕婦或糖尿病患者，食用前請先徵詢醫師意見。,(1)食用前應徵詢醫師、藥師或營養師有關食用本品之意見;均衡的飲食及適當的運動為身體健康之基礎。(2)本產品不能治療矯正任何疾病，有病者仍需就醫。(3)多食或過量無益。(4)請置於陰涼乾燥處，開瓶後請旋緊瓶蓋。請置於嬰幼兒不易取得之處。(5)本品不添加人工香料，防腐劑，麩質和澱粉。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=334
衛部健食規字第000064號,衛署健食規字,天明活力順魚油膠囊,2016/08/02,天明製藥股份有限公司,核可,EPA含量： 182~273 毫克 DHA含量： 123~185毫克 魚油純度(EPA+DHA)：30~46%,"調節血脂, 魚油（規格標準）-調節血脂",本產品可能有助於降低血中三酸甘油酯；其功效乃由學理得知，非由實驗確認。,正在服用抗凝血劑者，例如：阿斯匹靈…等凝血功能不全者及嬰幼兒、孕婦或糖尿病患者，食用前請先徴詢醫師意見。,(1)食用前應徵詢醫師、藥師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。(2)本產品非藥品，供保健用，罹病者仍需就醫。(3)請依建議攝取量食用，勿過量。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=339
衛部健食規字第000065號,衛署健食規字,樂活魚油軟膠囊,2018/01/10,臺鹽實業股份有限公司,核可,魚油純度 (EPA+DHA),"調節血脂, 魚油（規格標準）-調節血脂",本產品可能有助於降低血中三酸甘油酯；其功效乃由學理得知，非由實驗確認。,正在服用抗凝血劑者，例如：阿斯匹靈…等凝血功能不全者及嬰幼兒、孕婦或糖尿病患者，食用前請先徴詢醫師意見。,1.食用前應徴詢醫師、藥師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。2.本產品非藥品，供保健用，罹病者仍需就醫。3.請依建議攝取量食用，勿過量。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=379
衛部健食規字第000066號,衛署健食規字,伊美維達健康紅麴膠囊,2018/10/10,茂超醫材生技有限公司,核可,HMG-COA COA還原酵素抑制劑 Monacolin K,"調節血脂, 紅麴（規格標準）-調節血脂",本產品可能有助於降低血中總膽固醇；其功效由學理得知，非由實驗確認。,1. 患有嚴重疾病、感染症、肝病或經外科手術等情況者，請勿食用。2. 是否適用於膽固醇之控制，應先徵詢醫師。3. 懷孕及授乳期間請勿食用。4. 本品與降血脂藥(statin 及fibrate 類藥物)、葡萄柚合併使用，恐會造成肝、腎損傷、橫紋肌溶解症。,1. 請徵詢醫師、藥師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。2. 本產品非藥品，供保健用，罹病者仍需就醫。3. 請依建議攝取量食用，勿過量。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=421
衛部健食規字第000067號,衛署健食規字,優旨樂紅麴膠囊,2018/11/27,德康生物科技股份有限公司,核可,HMG-CoA還原酵素抑制劑(Monacolin K),"調節血脂功能, 紅麴（規格標準）-調節血脂功能",本產品可能有助於降低血中總膽固醇；其功效由學理得知，非由實驗確認,1. 患有嚴重疾病、感染症、肝病或經外科手術等情況者，請勿食用。2. 是否適用於膽固醇之控制，應先徵詢醫師。3. 懷孕及授乳期間請勿食用。4. 本品與降血脂藥(statin及fibrate類藥物)、葡萄柚合併使用，恐會造成肝、腎損傷、橫紋肌溶解症。,1.請徵詢醫師、藥師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。2.本產品非藥品，供保健用，罹病者仍需就醫。3.請依建議攝取量食用，勿過量。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=426
衛部健食規字第000068號,衛署健食規字,BHK’s深海魚油軟膠囊,2019/08/19,帝力股份有限公司,核可,每份(2粒)含EPA 307.2~460.8 mgDHA 217.6~320 mg魚油純度(EPA+DHA) 33~49%,"調節血脂, 魚油（規格標準）-調節血脂",本產品可能有助於降低血中三酸甘油酯；其功效乃由學理得知，非由實驗確認。,1.正在服用抗凝血劑者，例如:阿斯匹靈…等凝血功能不全者及嬰幼兒、孕婦或糖尿病患者，食用前請先徵詢醫師意見。2.本產品含有魚類製品，不適合對其過敏體質者食用。,1.請徵詢醫師、藥師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。2.本產品非藥品，供保健用，罹病者仍需就醫。3.請依建議攝取量食用，勿過量。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1447
衛部健食規字第000069號,衛署健食規字,北条博士-通醇精純魚油軟膠囊,2019/08/27,馬太生物科技有限公司,核可,每份2顆含EPA 307.2~460.8 mgDHA 217.6~320 mg魚油純度(EPA+DHA) 33~49%,"調節血脂, 魚油（規格標準）-調節血脂",本產品可能有助於降低血中三酸甘油酯；其功效乃由學理得知，非由實驗確認。,1.正在服用抗凝血劑者，例如:阿斯匹靈…等凝血功能不全者及嬰幼兒、孕婦或糖尿病患者，食用前請先徵詢醫師意見。2.本品含有魚油，不適合對其過敏體質者食用。,1.請徵詢醫師、藥師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。2.本產品非藥品，供保健用，罹病者仍需就醫。3.請依建議攝取量食用，勿過量。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1448
衛部健食規字第000070號,衛署健食規字,速速清魚油軟膠囊,2019/09/25,久保雅司國際股份有限公司,核可,每份(2顆)含EPA 84~126 mgDHA 380.8~571.2 mg魚油純度(EPA+DHA) 33~50%,"調節血脂, 魚油（規格標準）-調節血脂",本產品可能有助於降低血中三酸甘油酯；其功效乃由學理得知，非由實驗確認。,1.正在服用抗凝血劑者，例如:阿斯匹靈…等凝血功能不全者及嬰幼兒、孕婦或糖尿病患者，食用前請先徵詢醫師意見。2.本產品含有魚類及其製品，不適合對其過敏體質者食用。,1.請徵詢醫師、藥師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。2.本產品非藥品，供保健用，罹病者仍需就醫。3.請依建議攝取量食用，勿過量。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1450
衛部健食規字第000071號,衛署健食規字,創普997淨魚油軟膠囊,2020/03/20,創普生技股份有限公司,核可,EPA:630-930mgDHA:480-690mg魚油純度(EPA+DHA):40-50%,"調節血脂, 魚油（規格標準）-調節血脂",本產品可能有助於降低血中三酸甘油酯；其功效乃由學理得知，非由實驗確認。,正在服用抗凝血劑者，例如：阿斯匹靈…等凝血功能不全者及嬰幼兒、孕婦或糖尿病患者，食用前請先徵詢醫師意見。,1.請徵詢醫師、藥師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。2.本產品非藥品，供保健用，罹病者仍需就醫。3.請依建議攝取量食用，勿過量。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1461
衛部健食規字第000072號,衛署健食規字,大醫生技紅麴膠囊,2020/04/09,大醫生技有限公司,核可,每顆(595毫克)含HMG-CoA還原酵素抑制劑Monacolin K 9.2~13.8毫克,"調節血脂, 紅麴（規格標準）-調節血脂",本產品可能有助於降低血中總膽固醇；其功效由學理得知，非由實驗確認。,1.患有嚴重疾病、感染症、肝病或經外科手術等情況者，請勿食用。2.是否適用於膽固醇之控制，應先徵詢醫師。3.懷孕及授乳期間請勿食用。4.本品與降血脂藥(statin及fibrate類藥物)、葡萄柚合併使用，恐會造成肝、腎損傷、橫紋肌溶解症。,1.請徵詢醫師、藥師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。2.本產品非藥品，供保健用，罹病者仍需就醫。3.請依建議攝取量食用，勿過量。4.本產品請避免孩童自行取用,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1462
衛部健食規字第000073號,衛署健食規字,益健紅麴膠囊,2020/07/29,益力康生物科技有限公司,核可,每份(3顆)含HMG-CoA還原酵素抑制劑Monacolin K 4.71~7.05 毫克,"調節血脂, 紅麴（規格標準）-調節血脂",本產品可能有助於降低血中總膽固醇；其功效由學理得知，非由實驗確認。,1.患有嚴重疾病、感染症、肝病或是經外科手術等情況者，請勿食用。2.是否適用於膽固醇之控制，應先徵詢醫師。3.懷孕及授乳期間請勿食用。4.本品與降血脂藥 (statin及fibrate類藥物)、葡萄柚合併使用，恐會造成肝、腎損傷、橫紋肌溶解症。,1.請徵詢醫師、藥師或營養師有關食用本品之意見；均衡飲食及適當的運動為身體健康之基礎。2.本產品非藥品，供保健用，罹病者仍需就醫。3.請依建議攝取量食用，勿過量。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1478
衛部健食規字第000074號,衛署健食規字,優旨樂®深海魚油軟膠囊,2021/08/17,德康生物科技股份有限公司,核可,每份2顆含EPA307.2~460.8 mgDHA217.6~320 mg魚油純度(EPA+DHA)33~49%,"調節血脂功能, 魚油（規格標準）-調節血脂功能",本產品可能有助於降低血中三酸甘油酯；其功效乃由學理得知，非由實驗確認。,1.本品含有魚油，不適合對其過敏體質者食用。2.正在服用抗凝血劑者，例如:阿斯匹靈…等凝血功能不全者及嬰幼兒、孕婦或糖尿病患者，食用前請先徵詢醫師意見。,1.請徵詢醫師、藥師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。2.本產品非藥品，供保健用，罹病者仍需就醫。3.請依建議攝取量食用，勿過量。,https://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1500
衛部健食規字第000075號,衛署健食規字,常春樂活御紅麴膠囊,2021/06/07,台視文化事業股份有限公司,核可,每份(1粒)含HMG-CoA還原酵素抑制劑Monacolin K含量為4.8~7.2毫克,"調節血脂功能, 紅麴（規格標準）-調節血脂功能",本產品可能有助於降低血中總膽固醇；其功效由學理得知，非由實驗確認。,1.患有嚴重疾病、感染症、肝病或經外科手術等情況者，請勿食用。2.是否適用於膽固醇之控制，應先徵詢醫師。3.懷孕及授乳期間請勿食用。4.本品與降血脂藥(statin及fibrate類藥物)、葡萄柚合併使用，恐會造成肝、腎損傷、橫紋肌溶解症。,1.請徵詢醫師、藥師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。2.本產品非藥品，供保健用，罹病者仍需就醫。3.請依建議攝取量食用，勿過量。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1495
衛部健食規字第000076號,衛署健食規字,紅麴膠囊,2021/07/23,三多士股份有限公司,核可,每粒膠囊:Monacolin K(HMG-CoA 還原酵素抑制劑) 6±1.2毫克,"調節血脂功能, 紅麴（規格標準）-調節血脂功能",本產品可能有助於降低血中總膽固醇；其功效由學理得知，非由實驗確認。,1.懷孕及授乳期間、患有嚴重疾病、感染症、肝病或經外科手術等情況者，請勿食用。2.是否適用於膽固醇之控制，應先徵詢醫師。3.本品與降血脂藥(statin及fibrate類藥物)、葡萄柚合併使用，恐會造成肝、腎損傷、橫紋肌溶解症。,1.請徵詢醫師、藥師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。 2.本產品非藥品，供保健用，罹病者仍需就醫。3.請依建議攝取量食用，勿過量。4.內附乾燥劑，請勿食用，勿讓孩童自行取用。,https://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1498
衛部健食規字第000077號,衛署健食規字,常景紅麴膠囊,2021/10/22,常富養生科技有限公司,核可,每粒（0.595克）含HMG-CoA還原酵素抑制劑Monacolin K 2.50～3.75毫克,"調節血脂功能, 紅麴（規格標準）-調節血脂功能",本產品可能有助於降低血中總膽固醇；其功效由學理得知，非由實驗確認。,1. 患有嚴重疾病、感染症、肝病或經外科手術等情況者，請勿食用。2. 是否適用於膽固醇之控制，應先徵詢醫師。3. 懷孕及授乳期間請勿食用。4. 本品與降血脂藥（statin及fibrate類藥物）、葡萄柚合併使用，恐會造成肝、腎損傷、橫紋肌溶解症。,1. 請徵詢醫師、藥師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。2. 本產品非藥品，供保健用，罹病者仍需就醫。3. 請依建議攝取量食用，勿過量。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1501
衛部健食規字第000078號,衛署健食規字,2812機能魚油軟膠囊,2023/07/03,東翔生技股份有限公司,核可,每份6顆含EPA 667.7~1001.5 mgDHA 367.2~500.8 mg魚油純度(EPA+DHA) 31~45%,"調節血脂, 魚油（規格標準）-調節血脂",本產品可能有助於降低血中三酸甘油酯；其功效乃由學理得知，非由實驗確認。,嬰幼兒、孕婦、糖尿病患者或正在服用抗凝血劑之凝血功能不全者，食用前請先徵詢醫師意見。,1.請徵詢醫師、藥師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。2.本產品非藥品，供保健用，罹病者仍需就醫。3.請依建議攝取量食用，勿過量。4.本產品含有魚類及其製品，不適合對其過敏體質者食用。,http://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1539
衛部健食規字第000079號,衛署健食規字,金紅麴 植物膠囊,2023/08/22,兆億憓生物科技有限公司,核可,HMG-CoA還原酵素抑制劑Monacolin K,"調節血脂, 紅麴（規格標準）-調節血脂",本產品可能有助於降低血中總膽固醇；其功效由學理得知，非由實驗確認。,1.患有嚴重疾病、感染症、肝病或經外科手術等情況者，請勿食用。2.是否適用於膽固醇之控制，應先徵詢醫師。3.懷孕及授乳期間請勿食用。4.本品與降血脂藥(statin及fibrate類藥物)、葡萄柚合併使用，恐會造成肝、腎損傷、橫紋肌溶解症。,1.請徵詢醫師、藥師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。2.本產品非藥品，供保健用，罹病者仍需就醫。3.請依建議攝取量食用，勿過量。,http://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1542
衛部健食規字第000080號,衛署健食規字,菁萃純淨DHA魚油軟膠囊,2023/08/10,宏曄生物科技有限公司,核可,1.EPA2.DHA,"調節血脂, 魚油（規格標準）-調節血脂",本產品可能有助於降低血中三酸甘油酯；其功效乃由學理得知，非由實驗確認。,1.嬰幼兒、孕婦、糖尿病患者或正在服用抗凝血劑之凝血功能不全者，食用前請先徵詢醫師意見。2.本產品含有魚類製品，不適合對其過敏體質者食用。,1.請徵詢醫師、藥師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。2.本產品非藥品，供保健用，罹病者仍需就醫。3.請依建議攝取量食用，勿過量。,http://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1541
衛部健食規字第000081號,衛署健食規字,大醫生技DHA+EPA TG型魚油膠囊,2023/11/13,大醫生技股份有限公司,核可,EPA 307.2~460.8 mgDHA 716.8~1075.2 mg魚油純度（EPA+DHA） 32.0~48.0%,"調節血脂, 魚油（規格標準）-調節血脂",本產品可能有助於降低血中三酸甘油酯；其功效乃由學理得知，非由實驗確認。,嬰幼兒、孕婦、糖尿病患者或正在服用抗凝血劑之凝血功能不全者，食用前請先徵詢醫師意見。,1.本產品非藥品，供保健用，罹病者仍需就醫。2.請依建議攝取量食用，勿過量。3.本產品含有魚類及其製品，不適合對其過敏體質者食用。,http://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1544
